Position,Const,Created,Modified,Description,Name,Known For,Birth Date
23,nm0000122,2014-03-09,2014-03-09,,Charles Chaplin,The Great Dictator,1889-04-16
24,nm0000056,2014-03-09,2014-03-09,,Paul Newman,The Hustler,1925-01-26
25,nm0000164,2014-03-09,2014-03-09,,Anthony Hopkins,The Silence of the Lambs,1937-12-31
26,nm0000031,2014-03-09,2014-03-09,,Katharine Hepburn,The Lion in Winter,1907-05-12
27,nm0000658,2014-03-09,2014-03-09,,Meryl Streep,August: Osage County,1949-06-22
28,nm0000006,2014-03-09,2014-03-09,,Ingrid Bergman,Notorious,1915-08-29
29,nm0000072,2014-03-09,2014-03-09,,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,1932-02-27
30,nm0000012,2014-03-09,2014-03-09,,Bette Davis,All About Eve,1908-04-05
31,nm0000949,2014-03-09,2014-03-09,,Cate Blanchett,Carol,1969-05-14
32,nm0000030,2014-03-09,2014-03-09,,Audrey Hepburn,Breakfast at Tiffany's,1929-05-04
33,nm0000701,2014-03-09,2014-03-09,,Kate Winslet,Eternal Sunshine of the Spotless Mind,1975-10-05
34,nm0000932,2014-03-09,2014-03-09,,Halle Berry,Catwoman,1966-08-14
35,nm0000047,2014-03-09,2014-03-09,,Sophia Loren,Una giornata particolare,1934-09-20
36,nm0000046,2014-03-09,2014-03-09,,Vivien Leigh,A Streetcar Named Desire,1913-11-05
37,nm0000054,2014-03-09,2014-03-09,,Marilyn Monroe,Some Like It Hot,1926-06-01
38,nm0205626,2014-03-10,2014-03-10,,Viola Davis,Fences,1965-08-11
39,nm0000210,2014-03-09,2014-03-09,,Julia Roberts,Pretty Woman,1967-10-28
40,nm0000149,2014-03-09,2014-03-09,,Jodie Foster,The Silence of the Lambs,1962-11-19
41,nm0000023,2014-03-09,2014-03-09,,Judy Garland,The Wizard of Oz,1922-06-10
42,nm0000366,2014-03-10,2014-03-10,,Catherine Deneuve,8 femmes,1943-10-22
43,nm0000038,2015-08-13,2015-08-13,,Grace Kelly,Rear Window,1929-11-12
44,nm0000545,2014-03-09,2014-03-09,,Helen Mirren,RED,1945-07-26
45,nm0000291,2014-03-10,2014-03-10,,Angela Bassett,Strange Days,1958-08-16
46,nm0001256,2014-03-09,2014-03-09,,Greta Garbo,Ninotchka,1905-09-18
47,nm0000014,2014-03-09,2014-03-09,,Olivia de Havilland,The Heiress,1916-07-01
48,nm0361697,2014-03-10,2014-03-10,,Setsuko Hara,Banshun,1920-06-17
49,nm0000267,2014-03-09,2014-03-09,,Julie Andrews,The Sound of Music,1935-10-01
50,nm0001376,2014-03-10,2014-03-10,,Isabelle Huppert,Elle,1953-03-16
51,nm0000015,2014-03-09,2014-03-09,,James Dean,East of Eden,1931-02-08
52,nm0000199,2014-03-09,2014-03-09,,Al Pacino,Serpico,1940-04-25
53,nm0000018,2014-03-09,2014-03-09,,Kirk Douglas,Spartacus,1916-12-09
54,nm0000052,2014-03-10,2014-03-10,,Marcello Mastroianni,8�,1924-09-28
55,nm0000037,2014-03-09,2014-03-09,,Gene Kelly,Singin' in the Rain,1912-08-23
56,nm0000226,2014-03-09,2014-03-09,,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
57,nm0001536,2014-03-10,2014-03-10,,Toshir� Mifune,Y�jinb�,1920-04-01
58,nm0000148,2015-08-13,2015-08-13,,Harrison Ford,The Fugitive,1942-07-13
59,nm0000078,2014-03-09,2014-03-09,,John Wayne,True Grit,1907-05-26
60,nm0482320,2019-04-12,2019-04-12,,Mohanlal,Dasharatham,1960-05-21
61,nm0000011,2014-03-09,2014-03-09,,Gary Cooper,High Noon,1901-05-07
62,nm0000367,2014-03-10,2014-03-10,,G�rard Depardieu,Cyrano de Bergerac,1948-12-27
63,nm0001845,2014-03-09,2014-03-09,,Forest Whitaker,The Last King of Scotland,1961-07-15
64,nm0001050,2014-03-10,2014-03-10,,Montgomery Clift,From Here to Eternity,1920-10-17
65,nm0000163,2014-03-09,2014-03-09,,Dustin Hoffman,Tootsie,1937-08-08
66,nm0000032,2015-08-13,2015-08-13,,Charlton Heston,Ben-Hur,1923-10-04
67,nm0000129,2014-03-09,2014-03-09,,Tom Cruise,Top Gun,1962-07-03
68,nm0000168,2014-03-09,2014-03-09,,Samuel L. Jackson,Pulp Fiction,1948-12-21
69,nm0000564,2014-03-09,2014-03-09,,Peter O'Toole,Lawrence of Arabia,1932-08-02
70,nm0000245,2014-03-09,2014-03-09,,Robin Williams,Mrs. Doubtfire,1951-07-21
71,nm0000332,2014-03-10,2014-03-10,,Don Cheadle,Crash,1964-11-29
72,nm0000104,2014-03-10,2014-03-10,,Antonio Banderas,The Mask of Zorro,1960-08-10
73,nm0000552,2014-03-10,2014-03-10,,Eddie Murphy,The Nutty Professor,1961-04-03
74,nm0001725,2019-04-12,2019-04-12,,Omar Sharif,Lawrence of Arabia,1932-04-10
75,nm0005132,2014-03-09,2014-03-09,,Heath Ledger,Brokeback Mountain,1979-04-04
76,nm0000473,2014-03-09,2014-03-09,,Diane Keaton,Annie Hall,1946-01-05
77,nm0000028,2014-03-09,2014-03-09,,Rita Hayworth,Gilda,1918-10-17
78,nm0000081,2014-03-09,2014-03-09,,Natalie Wood,Rebel Without a Cause,1938-07-20
79,nm0001076,2014-03-09,2014-03-09,,Joan Crawford,What Ever Happened to Baby Jane?,1904-03-23
80,nm0000215,2014-03-09,2014-03-09,,Susan Sarandon,Thelma & Louise,1946-10-04
81,nm0000335,2014-03-09,2014-03-09,,Glenn Close,Fatal Attraction,1947-03-19
82,nm0000021,2014-03-09,2014-03-09,,Joan Fontaine,Rebecca,1917-10-22
83,nm0000194,2014-03-09,2014-03-09,,Julianne Moore,The Kids Are All Right,1960-12-03
84,nm0005093,2019-11-09,2019-11-09,,Regina King,Ray,1971-01-15
85,nm0001401,2014-03-09,2014-03-09,,Angelina Jolie,Maleficent,1975-06-04
86,nm0000404,2014-03-09,2014-03-09,,Jane Fonda,Klute,1937-12-21
87,nm0880521,2014-03-10,2014-03-10,,Liv Ullmann,Viskningar och rop,1938-12-16
88,nm0000204,2014-03-09,2014-03-09,,Natalie Portman,Black Swan,1981-06-09
89,nm0000113,2014-03-09,2014-03-09,,Sandra Bullock,The Proposal,1964-07-26
90,nm0000039,2014-03-09,2014-03-09,,Deborah Kerr,The King and I,1921-09-30
91,nm0000668,2014-03-09,2014-03-09,,Emma Thompson,Sense and Sensibility,1959-04-15
92,nm0000201,2014-03-09,2014-03-09,,Michelle Pfeiffer,What Lies Beneath,1958-04-29
93,nm0001159,2014-03-09,2014-03-09,,Faye Dunaway,Network,1941-01-14
94,nm0004851,2014-03-10,2014-03-10,,Pen�lope Cruz,Vicky Cristina Barcelona,1974-04-28
95,nm0000173,2014-03-09,2014-03-09,,Nicole Kidman,Moulin Rouge!,1967-06-20
96,nm0000161,2014-03-10,2014-03-10,,Salma Hayek,Frida,1966-09-02
97,nm0000244,2014-03-09,2014-03-09,,Sigourney Weaver,Alien: Resurrection,1949-10-08
98,nm0000870,2014-03-09,2014-03-09,,Kathy Bates,Misery,1948-06-28
99,nm0005154,2014-03-10,2014-03-10,,Lucy Liu,Kill Bill: Vol. 1,1968-12-02
100,nm0010736,2014-03-09,2014-03-09,,Amy Adams,Arrival,1974-08-20
101,nm0000313,2014-03-09,2014-03-09,,Jeff Bridges,The Big Lebowski,1949-12-04
102,nm0001426,2014-03-09,2014-03-09,,Ben Kingsley,Sexy Beast,1943-12-31
103,nm0000169,2014-03-09,2014-03-09,,Tommy Lee Jones,The Fugitive,1946-09-15
104,nm0000602,2014-03-09,2014-03-09,,Robert Redford,The Natural,1936-08-18
105,nm0000493,2015-08-13,2015-08-13,,Jack Lemmon,The Apartment,1925-02-08
106,nm0001626,2014-03-09,2014-03-09,,Christopher Plummer,Beginners,1929-12-13
107,nm0001715,2014-03-09,2014-03-09,,George C. Scott,Patton,1927-10-18
108,nm0001618,2014-03-09,2014-03-09,,Joaquin Phoenix,Her,1974-10-28
109,nm0000686,2014-03-09,2014-03-09,,Christopher Walken,Hairspray,1943-03-31
110,nm0000450,2015-04-03,2015-04-03,,Philip Seymour Hoffman,The Master,1967-07-23
111,nm0000123,2014-03-09,2014-03-09,,George Clooney,Michael Clayton,1961-05-06
112,nm0000432,2014-03-09,2014-03-09,,Gene Hackman,The French Connection,1930-01-30
113,nm0000246,2014-03-09,2014-03-09,,Bruce Willis,Die Hard,1955-03-19
114,nm0000125,2014-03-09,2014-03-09,,Sean Connery,The Rock,1930-08-25
115,nm0005212,2014-03-09,2014-03-09,,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,1939-05-25
116,nm0000128,2019-04-12,2019-04-12,,Russell Crowe,Les Mis�rables,1964-04-07
117,nm0000195,2014-03-09,2014-03-09,,Bill Murray,Lost in Translation,1950-09-21
118,nm0000115,2014-03-09,2014-03-09,,Nicolas Cage,Face/Off,1964-01-07
119,nm0000582,2014-03-09,2014-03-09,,Joe Pesci,Goodfellas,1943-02-09
120,nm0000093,2014-03-09,2014-03-09,,Brad Pitt,Ad Astra,1963-12-18
121,nm0000126,2014-03-09,2014-03-09,,Kevin Costner,The Postman,1955-01-18
122,nm0000661,2015-08-13,2015-08-13,,Donald Sutherland,The Hunger Games: Catching Fire,1935-07-17
123,nm0000142,2014-03-09,2014-03-09,,Clint Eastwood,Unforgiven,1930-05-31
124,nm0000140,2014-03-09,2014-03-09,,Michael Douglas,Wall Street,1944-09-25
125,nm0000375,2015-08-13,2015-08-13,,Robert Downey Jr.,Iron Man,1965-04-04
126,nm0001257,2014-03-09,2014-03-09,,Ava Gardner,The Night of the Iguana,1922-12-24
127,nm0000398,2014-03-09,2014-03-09,,Sally Field,Forrest Gump,1946-11-06
128,nm0000013,2014-03-09,2014-03-09,,Doris Day,Pillow Talk,1922-04-03
129,nm0000511,2014-03-09,2014-03-09,,Shirley MacLaine,Terms of Endearment,1934-04-24
130,nm0000456,2014-03-09,2014-03-09,,Holly Hunter,The Piano,1958-03-20
131,nm0005476,2014-03-09,2014-03-09,,Hilary Swank,Boys Don't Cry,1974-07-30
132,nm0001055,2014-03-09,2014-03-09,,Claudette Colbert,It Happened One Night,1903-09-13
133,nm0000178,2014-03-09,2014-03-09,,Diane Lane,Unfaithful,1965-01-22
134,nm0001448,2014-03-09,2014-03-09,,Jessica Lange,Tootsie,1949-04-20
135,nm0841797,2014-03-09,2014-03-09,,Gloria Swanson,Sunset Blvd.,1899-03-27
136,nm0000002,2014-03-09,2014-03-09,,Lauren Bacall,To Have and Have Not,1924-09-16
137,nm0000531,2014-03-09,2014-03-09,,Frances McDormand,Fargo,1957-06-23
138,nm0790454,2014-03-09,2014-03-09,,Norma Shearer,The Divorcee,1902-08-10
139,nm0000541,2014-03-09,2014-03-09,,Bette Midler,The First Wives Club,1945-12-01
140,nm0001546,2014-03-09,2014-03-09,,Mary Tyler Moore,Ordinary People,1936-12-29
141,nm0536167,2014-03-09,2014-03-09,,Anna Magnani,Roma citt� aperta,1908-03-07
142,nm0001132,2014-03-09,2014-03-09,,Judi Dench,Skyfall,1934-12-09
143,nm0000232,2014-03-09,2014-03-09,,Sharon Stone,Basic Instinct,1958-03-10
144,nm0000107,2014-03-09,2014-03-09,,Kim Basinger,L.A. Confidential,1953-12-08
145,nm0413559,2014-03-09,2014-03-09,,Glenda Jackson,Women in Love,1936-05-09
146,nm0001656,2014-03-09,2014-03-09,,Donna Reed,It's a Wonderful Life,1921-01-27
147,nm0000193,2014-03-09,2014-03-09,,Demi Moore,G.I. Jane,1962-11-11
148,nm0004266,2015-08-13,2015-08-13,,Anne Hathaway,Les Mis�rables,1982-11-12
149,nm0591485,2014-03-09,2014-03-09,,Liza Minnelli,Cabaret,1946-03-12
150,nm0000133,2014-03-09,2014-03-09,,Geena Davis,Thelma & Louise,1956-01-21
151,nm0000634,2014-03-09,2014-03-09,,Peter Sellers,Being There,1925-09-08
152,nm0000095,2014-03-09,2014-03-09,,Woody Allen,Manhattan,1935-12-01
153,nm0000154,2014-03-09,2014-03-09,,Mel Gibson,Braveheart,1956-01-03
154,nm0000120,2014-03-09,2014-03-09,,Jim Carrey,Ace Ventura: Pet Detective,1962-01-17
155,nm0000242,2014-03-09,2014-03-09,,Mark Wahlberg,The Fighter,1971-06-05
156,nm0000188,2014-03-09,2014-03-09,,Steve Martin,Roxanne,1945-08-14
157,nm0000849,2014-03-09,2014-03-09,,Javier Bardem,Skyfall,1969-03-01
158,nm0910607,2014-03-09,2014-03-09,,Christoph Waltz,Django Unchained,1956-10-04
159,nm0000209,2014-03-09,2014-03-09,,Tim Robbins,Mystic River,1958-10-16
160,nm0000216,2014-03-09,2014-03-09,,Arnold Schwarzenegger,Predator,1947-07-30
161,nm0000230,2014-03-09,2014-03-09,,Sylvester Stallone,Rocky,1946-07-06
162,nm0001557,2014-03-09,2014-03-09,,Viggo Mortensen,Eastern Promises,1958-10-20
163,nm0000489,2014-03-09,2014-03-09,,Christopher Lee,Star Wars: Episode II - Attack of the Clones,1922-05-27
164,nm0001691,2014-03-09,2014-03-09,,Geoffrey Rush,The King's Speech,1951-07-06
165,nm0000027,2014-03-09,2014-03-09,,Alec Guinness,Star Wars,1914-04-02
166,nm0000009,2014-03-09,2014-03-09,,Richard Burton,Who's Afraid of Virginia Woolf?,1925-11-10
167,nm0000285,2014-03-09,2014-03-09,,Alec Baldwin,The Departed,1958-04-03
168,nm0001001,2014-03-09,2014-03-09,,James Caan,The Godfather,1940-03-26
169,nm0252230,2015-04-03,2015-04-03,,Chiwetel Ejiofor,12 Years a Slave,1977-07-10
170,nm0586568,2016-06-18,2016-06-18,,Mads Mikkelsen,Hannibal,1965-11-22
171,nm0001774,2014-03-09,2014-03-09,,Ben Stiller,Tropic Thunder,1965-11-30
172,nm0000353,2014-03-09,2014-03-09,,Willem Dafoe,Spider-Man,1955-07-22
173,nm0000438,2014-03-09,2014-03-09,,Ed Harris,The Truman Show,1950-11-28
174,nm0000172,2014-03-09,2014-03-09,,Harvey Keitel,Reservoir Dogs,1939-05-13
175,nm0000685,2014-03-09,2014-03-09,,Jon Voight,Midnight Cowboy,1938-12-29
176,nm0000106,2014-03-09,2014-03-09,,Drew Barrymore,Never Been Kissed,1975-02-22
177,nm0000213,2014-03-09,2014-03-09,,Winona Ryder,Little Women,1971-10-29
178,nm0000678,2014-03-09,2014-03-09,,Kathleen Turner,Romancing the Stone,1954-06-19
179,nm0000235,2014-03-09,2014-03-09,,Uma Thurman,Kill Bill: Vol. 1,1970-04-29
180,nm0000623,2014-03-09,2014-03-09,,Rene Russo,Nightcrawler,1954-02-17
181,nm0000155,2014-03-09,2014-03-09,,Whoopi Goldberg,Ghost,1955-11-13
182,nm0000906,2014-03-09,2014-03-09,,Annette Bening,American Beauty,1958-05-29
183,nm0001749,2015-08-13,2015-08-13,,Maggie Smith,Gosford Park,1934-12-28
184,nm0000659,2014-03-09,2014-03-09,,Barbra Streisand,Funny Girl,1942-04-24
185,nm2225369,2014-03-09,2014-03-09,,Jennifer Lawrence,The Hunger Games,1990-08-15
186,nm0940946,2014-03-09,2014-03-09,,Joanne Woodward,"Rachel, Rachel",1930-02-27
187,nm0564790,2014-03-09,2014-03-09,,Mercedes McCambridge,Giant,1916-03-16
188,nm0001378,2014-03-09,2014-03-09,,Anjelica Huston,The Witches,1951-07-08
189,nm0001848,2014-03-09,2014-03-09,,Dianne Wiest,Hannah and Her Sisters,1948-03-28
190,nm0000443,2014-03-09,2014-03-09,,Goldie Hawn,Overboard,1945-11-21
191,nm0001012,2014-03-09,2014-03-09,,Claudia Cardinale,C'era una volta il West,1938-04-15
192,nm0000569,2014-03-09,2014-03-09,,Gwyneth Paltrow,Shakespeare in Love,1972-09-27
193,nm0000234,2014-03-09,2014-03-09,,Charlize Theron,Monster,1975-08-07
194,nm0000700,2014-03-09,2014-03-09,,Debra Winger,Terms of Endearment,1955-05-16
195,nm0182839,2015-08-13,2015-08-13,,Marion Cotillard,La M�me,1975-09-30
196,nm0000207,2014-03-09,2014-03-09,,Christina Ricci,Casper,1980-02-12
197,nm0000300,2014-03-09,2014-03-09,,Juliette Binoche,The English Patient,1964-03-09
198,nm0000435,2014-03-09,2014-03-09,,Daryl Hannah,Kill Bill: Vol. 2,1960-12-03
199,nm0095804,2014-03-09,2014-03-09,,Shirley Booth,"Come Back, Little Sheba",1898-08-30
200,nm0000702,2014-03-09,2014-03-09,,Reese Witherspoon,Wild,1976-03-22
201,nm0001125,2014-03-09,2014-03-09,,Benicio Del Toro,Sicario,1967-02-19
202,nm0000102,2014-03-09,2014-03-09,,Kevin Bacon,Footloose,1958-07-08
203,nm0000664,2014-03-09,2014-03-09,,Patrick Swayze,Dirty Dancing,1952-08-18
204,nm0000323,2014-03-09,2014-03-09,,Michael Caine,The Prestige,1933-03-14
205,nm0000380,2015-04-03,2015-04-03,,Robert Duvall,The Apostle,1931-01-05
206,nm0000044,2014-03-09,2014-03-09,,Burt Lancaster,From Here to Eternity,1913-11-02
207,nm0000053,2014-03-09,2014-03-09,,Robert Mitchum,Out of the Past,1917-08-06
208,nm0268199,2014-03-09,2014-03-09,,Colin Farrell,The Lobster,1976-05-31
209,nm0000034,2014-03-09,2014-03-09,,William Holden,Stalag 17,1918-04-17
210,nm0000064,2014-03-09,2014-03-09,,Edward G. Robinson,Key Largo,1893-12-12
211,nm0001635,2014-03-09,2014-03-09,,William Powell,The Thin Man,1892-07-29
212,nm0001467,2014-03-09,2014-03-09,,Jared Leto,Dallas Buyers Club,1971-12-26
213,nm0001224,2014-03-09,2014-03-09,,Errol Flynn,The Adventures of Robin Hood,1909-06-20
214,nm0000050,2014-03-09,2014-03-09,,Groucho Marx,A Night at the Opera,1890-10-02
215,nm0000051,2014-03-09,2014-03-09,,James Mason,Lolita,1909-05-15
216,nm0000036,2014-03-09,2014-03-09,,Buster Keaton,The General,1895-10-04
217,nm0000080,2014-03-09,2014-03-09,,Orson Welles,Citizen Kane,1915-05-06
218,nm0000001,2014-03-09,2014-03-09,,Fred Astaire,Funny Face,1899-05-10
219,nm0177896,2014-03-09,2014-03-09,,Bradley Cooper,A Star Is Born,1975-01-05
220,nm0000198,2019-03-19,2019-03-19,,Gary Oldman,Tinker Tailor Soldier Spy,1958-03-21
221,nm0000179,2014-03-09,2014-03-09,,Jude Law,The Talented Mr. Ripley,1972-12-29
222,nm0316079,2014-03-09,2014-03-09,,Paul Giamatti,Sideways,1967-06-06
223,nm0000553,2014-03-09,2014-03-09,,Liam Neeson,Kinsey,1952-06-07
224,nm0000354,2019-04-12,2019-04-12,,Matt Damon,Good Will Hunting,1970-10-08
225,nm1055413,2014-03-09,2014-03-09,,Michael Fassbender,Shame,1977-04-02
226,nm0000993,2014-03-09,2014-03-09,,Carol Burnett,The Carol Burnett Show,1933-04-26
227,nm0001788,2014-03-09,2014-03-09,,Jessica Tandy,Driving Miss Daisy,1909-06-07
228,nm0000166,2014-03-09,2014-03-09,,Helen Hunt,As Good as It Gets,1963-06-15
229,nm0000099,2015-03-08,2015-03-08,,Patricia Arquette,True Romance,1968-04-08
230,nm0000544,2014-03-09,2014-03-09,,Carmen Miranda,The Gang's All Here,1909-02-09
231,nm0005028,2014-03-09,2014-03-09,,Kate Hudson,Almost Famous,1979-04-19
232,nm0001876,2014-03-09,2014-03-09,,Catherine Zeta-Jones,Chicago,1969-09-25
233,nm0000139,2014-03-09,2014-03-09,,Cameron Diaz,There's Something About Mary,1972-08-30
234,nm0001666,2014-03-09,2014-03-09,,Debbie Reynolds,Singin' in the Rain,1932-04-01
235,nm0000995,2014-03-09,2014-03-09,,Ellen Burstyn,Requiem for a Dream,1932-12-07
236,nm0000058,2014-03-09,2014-03-09,,Maureen O'Hara,The Quiet Man,1920-08-17
237,nm0001485,2014-03-09,2014-03-09,,Myrna Loy,The Thin Man,1905-08-02
238,nm0372176,2014-03-09,2014-03-09,,Lena Headey,Game of Thrones,1973-10-03
239,nm0001057,2014-03-09,2014-03-09,,Toni Collette,Little Miss Sunshine,1972-11-01
240,nm0001473,2014-03-09,2014-03-09,,Laura Linney,The Big C,1964-02-05
241,nm0000017,2014-03-09,2014-03-09,,Marlene Dietrich,Witness for the Prosecution,1901-12-27
242,nm0001479,2014-03-09,2014-03-09,,Carole Lombard,My Man Godfrey,1908-10-06
243,nm0000795,2014-03-09,2014-03-09,,Jean Arthur,Mr. Smith Goes to Washington,1900-10-17
244,nm0001318,2014-03-09,2014-03-09,,Jean Harlow,Bombshell,1911-03-03
245,nm0001677,2014-03-09,2014-03-09,,Ginger Rogers,The Major and the Minor,1911-07-16
246,nm0681933,2014-03-09,2014-03-09,,Mary Pickford,Coquette,1892-04-08
247,nm0922213,2014-03-09,2014-03-09,,Mae West,I'm No Angel,1892-08-17
248,nm0000096,2014-03-09,2014-03-09,,Gillian Anderson,The X Files,1968-08-09
249,nm0914612,2014-03-09,2014-03-09,,Emma Watson,The Perks of Being a Wallflower,1990-04-15
250,nm0000212,2014-03-09,2014-03-09,,Meg Ryan,When Harry Met Sally...,1961-11-19
251,nm0000273,2014-03-09,2014-03-09,,Alan Arkin,Argo,1934-03-26
252,nm0000621,2014-03-10,2014-03-10,,Kurt Russell,The Hateful Eight,1951-03-17
253,nm0350453,2014-03-10,2014-03-10,,Jake Gyllenhaal,Nightcrawler,1980-12-19
254,nm0331516,2014-03-10,2014-03-10,,Ryan Gosling,La La Land,1980-11-12
255,nm0000147,2014-03-09,2014-03-09,,Colin Firth,A Single Man,1960-09-10
256,nm0004937,2014-03-09,2014-03-09,,Jamie Foxx,Ray,1967-12-13
257,nm0004778,2014-03-09,2014-03-09,,Adrien Brody,The Pianist,1973-04-14
258,nm0000905,2014-03-09,2014-03-09,,Roberto Benigni,La vita � bella,1952-10-27
259,nm0000460,2014-03-09,2014-03-09,,Jeremy Irons,Dead Ringers,1948-09-19
260,nm0000719,2014-03-09,2014-03-09,,F. Murray Abraham,The Grand Budapest Hotel,1939-10-24
261,nm0000377,2014-03-09,2014-03-09,,Richard Dreyfuss,The Goodbye Girl,1947-10-29
262,nm0002075,2014-03-09,2014-03-09,,Peter Finch,Network,1916-09-28
263,nm0138770,2014-03-09,2014-03-09,,Art Carney,Firestarter,1918-11-04
264,nm0731772,2014-03-09,2014-03-09,,Cliff Robertson,Spider-Man,1923-09-09
265,nm0001511,2014-03-09,2014-03-09,,Lee Marvin,The Dirty Dozen,1924-02-19
266,nm0001322,2014-03-09,2014-03-09,,Rex Harrison,My Fair Lady,1908-03-05
267,nm0000063,2014-03-10,2014-03-10,,Anthony Quinn,Alexis Zorbas,1915-04-21
268,nm0001703,2014-03-09,2014-03-09,,Maximilian Schell,Judgment at Nuremberg,1930-12-08
269,nm0362766,2014-03-09,2014-03-09,,Tom Hardy,Inception,1977-09-15
270,nm0000057,2014-03-09,2014-03-09,,David Niven,Murder by Death,1910-03-01
271,nm0000458,2014-03-09,2014-03-09,,William Hurt,A History of Violence,1950-03-20
272,nm0000989,2014-03-09,2014-03-09,,Yul Brynner,The Ten Commandments,1920-07-11
273,nm0000308,2014-03-09,2014-03-09,,Ernest Borgnine,Marty,1917-01-24
274,nm1212722,2014-03-09,2014-03-09,,Benedict Cumberbatch,The Imitation Game,1976-07-19
275,nm0001768,2014-03-09,2014-03-09,,Rod Steiger,In the Heat of the Night,1925-04-14
276,nm1631269,2014-03-09,2014-03-09,,Chlo� Grace Moretz,Let Me In,1997-02-10
277,nm0447695,2014-03-09,2014-03-09,,Anna Kendrick,Up in the Air,1985-08-09
278,nm0001833,2014-03-09,2014-03-09,,Emily Watson,Gosford Park,1967-01-14
279,nm0000307,2014-03-09,2014-03-09,,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,1966-05-26
280,nm0461136,2014-03-09,2014-03-09,,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,1985-03-26
281,nm0005490,2014-03-09,2014-03-09,,Alexis Thorpe,The Man from Earth,1980-04-19
282,nm0203836,2014-03-09,2014-03-09,,Marion Davies,Going Hollywood,1897-01-03
283,nm0424060,2014-03-09,2014-03-09,,Scarlett Johansson,Her,1984-11-22
284,nm0266824,2014-03-09,2014-03-09,,Dakota Fanning,War of the Worlds,1994-02-23
285,nm0000098,2014-03-09,2014-03-09,,Jennifer Aniston,Friends,1969-02-11
286,nm0000124,2014-03-09,2014-03-09,,Jennifer Connelly,A Beautiful Mind,1970-12-12
287,nm1046097,2014-03-09,2014-03-09,,Rachel McAdams,The Notebook,1978-11-17
288,nm1659547,2014-03-09,2014-03-09,,Carey Mulligan,Never Let Me Go,1985-05-28
289,nm0005109,2014-03-09,2014-03-09,,Mila Kunis,Black Swan,1983-08-14
290,nm1086543,2014-03-09,2014-03-09,,Amanda Seyfried,Les Mis�rables,1985-12-03
291,nm0000182,2014-03-09,2014-03-09,,Jennifer Lopez,Gigli,1969-07-24
292,nm0000117,2014-03-09,2014-03-09,,Neve Campbell,Scream,1973-10-03
293,nm0000103,2014-03-09,2014-03-09,,Fairuza Balk,The Craft,1974-05-21
294,nm0004695,2014-03-09,2014-03-09,,Jessica Alba,Fantastic Four,1981-04-28
295,nm0829576,2014-03-09,2014-03-09,,Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 1,1990-04-09
296,nm0910278,2014-03-09,2014-03-09,,Julie Walters,Billy Elliot,1950-02-22
297,nm1913734,2014-03-09,2014-03-09,,Rooney Mara,Carol,1985-04-17
298,nm0000130,2014-03-09,2014-03-09,,Jamie Lee Curtis,True Lies,1958-11-22
299,nm1297015,2014-03-09,2014-03-09,,Emma Stone,La La Land,1988-11-06
